District,Age
Kavrepalanchok,27
Kathmandu,NA
Chitwan,7
Dhanusha,12
Dang,21
Baitadi,22
Siraha,13
Khotang,12
Baitadi,17
Surkhet,54
Makwanpur,16
Mugu,14
Makwanpur,22
Parsa,55
Siraha,15
Ilam,15
Kathmandu,11
Makwanpur,13
Dhading,5
Kathmandu,NA
Ramechhap,5
Kathmandu,12
Kavrepalanchok,3
Parasi,5
Rupandehi,15
Udayapur,NA
Siraha,17
Jhapa,13
Terhathum,16
Siraha,16
Gulmi,35
Kanchanpur,38
Nuwakot,14
Rupandehi,14
Siraha,13
Saptari,10
Gorkha,10
Ilam,15
Bhaktapur,14
Bhaktapur,14
Ilam,14
Myagdi,14
Udayapur,42
Udayapur,14
Kathmandu,17
Bhojpur,17
Saptari,20
Saptari,14
Udayapur,3
Gorkha,19
Siraha,14
Chitwan,8
Chitwan,11
Tanahu,7
Siraha,18
Terhathum,17
Arghakhanchi,8
Bhojpur,14
Lalitpur,5
Kavrepalanchok,3
Banke,13
Kathmandu,14
Kathmandu,6
Dhanusha,12
Baglung,60
Tanahu,22
Darchula,15
Nuwakot,14
Banke,19
Chitwan,15
Bardiya,25
Parasi,34
Bhojpur,6
Parbat,71
Bhaktapur,NA
Jhapa,55
Rukum West,28
Rupandehi,15
Panchthar,6
Bhaktapur,NA
Dang,5
Lamjung,NA
Udayapur,6
Morang,10
Rukum East,3
Parsa,19
Sarlahi,17
Kailali,14
Chitwan,13
Saptari,20
Kavrepalanchok,13
Dhankuta,16
Nawalpur,19
Chitwan,22
Kavrepalanchok,14
Arghakhanchi,12
Morang,11
Dang,NA
Doti,NA
Mugu,NA
Rupandehi,3
Sarlahi,7
Dhanusa,10
Tanahu,10
Parasi,7
Dhanusa,11
Siraha,13
Siraha,12
Bajura,40
Chitwan,17
Saptari,20
Rupandehi,5
Myagdi,84
Bardiya,6
Saptari,30
Dang,11
Achham,NA
Kaski,22
Udayapur,10
Rupandehi,14
Siraha,12
Bhojpur,15
Bara,10
Kailali,13
Makwanpur,16
Rautahat,32
Siraha,7
Dang,10
Dang,14
Kanchanpur,60
Morang,13
Nuwakot,6
Saptari,14
Rupandehi,15
Jhapa,4
Rautahat,15
Kavrepalanchok,14
Parasi,3
Lalitpur,18
Rukum West,17
Kaski,16
Sunsari,11
Okhaldhunga,16
Terhathum,13
Sunsari,11
Sunsari,7
Siraha,16
Kavrepalanchok,9
Jhapa,20
Siraha,17
Rupandehi,23
Rupandehi,14
Siraha,13
Makwanpur,17
Taplejung,16
Parsa,13
Siraha,13
Palpa,32
Arghakhanchi,15
Bhaktapur,13
Nawalpur,45
Palpa,13
Bhaktapur,15
Chitwan,14
Chitwan,14
Rupandehi,8
Kaski,22
Bara,75
Syangja,17
Gulmi,15
Dolakha,NA
Chitwan,15
Rupandehi,8
Kathmandu,15
Dang,11
Kavrepalanchok,15
Saptari,30
Nawalpur,17
Dhanusa,28
Bardiya,15
Rupandehi,40
Dhanusa,28
Kailali,13
Rupandehi,50
Khotang,17
Dhading,25
Khotang,40
Sunsari,30
Dhanusa,40
Kaski,12
Myagdi,5
Ilam,25
Doti,15
Morang,8
Arghakhanchi,31
Makwanpur,15
Khotang,9
Tanahu,12
Okhaldhunga,16
Makwanpur,15
Rupandehi,25
Doti,20
Saptari,16
Jhapa,70
Tanahu,12
Kailali,14
Rupandehi,16
Parasi,15
Bardiya,8
Bardiya,8
Dadeldhura,15
Dadeldhura,26
Udayapur,21
Siraha,NA
Jhapa,23
Nawalpur,13
Surkhet,9
Lalitpur,6
Tanahu,16
Rupandehi,15
Parasi,10
Saptari,14
Lalitpur,18
Rupandehi,38
Kapilvastu,23
Rautahat,16
Lalitpur,13
Dang,25
Terhathum,5
Ramechhap,NA
Bardiya,5
Saptari,31
Solukhumbu,12
Kailali,13
Lalitpur,4
Bara,15
Bara,12
Doti,28
Kathmandu,15
Chitwan,28
Rupandehi,19
Terhathum,36
Siraha,0
Gulmi,14
Sunsari,22
Dhanusa,25
Lalitpur,17
Kapilvastu,13
Bardiya,13
Siraha,10
Dhading,11
Udayapur,NA
Arghakhanchi,2
Dhading,11
Tanahu,5
Sunsari,15
Kailali,16
Bardiya,14
Arghakhanchi,NA
Mustang,16
Makwanpur,20
Lalitpur,NA
Bara,19
Okhaldhunga,10
Bara,61
Jhapa,16
Kanchanpur,18
Kaski,14
Sunsari,10
Chitwan,NA
Sunsari,30
Salyan,52
Parasi,11
Siraha,18
Nuwakot,12
Saptari,18
Dhading,16
Sunsari,15
Bhojpur,4
Dang,17
Palpa,75
Kapilvastu,13
Rupandehi,18
Kathmandu,11
Jhapa,13
Morang,37
Rupandehi,8
Darchula,20
Syangja,16
Parasi,11
Okhaldhunga,7
Kailali,15
Rukum West,19
Dhanusa,NA
Saptari,3
Bhaktapur,26
Kapilvastu,18
Bhojpur,NA
Makwanpur,26
