District,P or V,Ethnicity code
Jhapa,P,AVS
Jhapa,P,AVS
Khotang,P,AVS
Dailekh,P,REG
Kavrepalanchok,P,BMN
Kavrepalanchok,P,BMN
Rautahat,P,MDS
Banke,P,JNJT
Banke,P,JNJT
Banke,P,JNJT
Khotang,P,AVS
Dang,P,DLT
Udayapur,P,AVS
Jajarkot,P,REG
Kanchanpur,P,BMN
Rautahat,P,MDS
Banke,P,AVS
Dang,P,DLT
Jhapa,P,AVS
Chitwan,P,DLT
Panchthar,P,AVS
Sindhupalchok,P,AVS
Sarlahi,P,JNJT
Sindhupalchok,P,AVS
Sunsari,P,MDS
Kapilvastu,P,OTR
Gorkha,P,CHT
Udayapur,P,CHT
Mahottari,P,KAVS
Kailali,P,REG
Bhojpur,P,BMN
Udayapur,P,DLT
Udayapur,P,DLT
Kailali,P,AVS
Rautahat,P,MDS
"Gorakhpur, India",P,MSLM
Rupandehi,P,MDS
Kavrepalanchok,P,BMN
Jhapa,P,AVS
Kaski,P,DLT
Bhojpur,P,TBT
Dang,P,JNJT
Bhaktapur,P,BMN
Kavrepalanchok,P,BMN
Jumla,P,MDS
Baglung,P,JNJT
Jajarkot,P,MDS
Jajarkot,P,CHT
Kanchanpur,P,BMN
Bardiya,P,AVS
Terhathum,P,MDS
Udayapur,P,CHT
Sunsari,P,MDS
Sunsari,P,MDS
Sunsari,P,MDS
Baitadi,P,MDS
Khotang,V,AVS
Bhojpur,P,CHT
Bhojpur,P,OTR
India,P,DLT
Kapilvastu,P,OTR
Taplejung,P,DLT
Sunsari,P,DLT
Sunsari,P,AVS
Parasi,P,BMN
Rukum,P,DLT
Lamjung,P,DLT
Kailali,P,AVS
Kailali,P,BMN
Kailali,P,DLT
Kailali,P,BMN
Kailali,P,DLT
Kavrepalanchok,P,BMN
Solukhumbu,P,TBT
Rupandehi,P,MDS
Rupandehi,P,DLT
Rupandehi,P,CHT
Rupandehi,P,CHT
Baglung,P,DLT
Kailali,P,BMN
Taplejung,P,AVS
Mahottari,P,MDS
Tanahu,P,REG
Darchula,P,AVS
Parasi,P,OTR
Kapilvastu,P,DLT
Jhapa,P,AVS
Banke,P,JNJT
India,P,MDS
Morang,P,BMN
Kathmandu,P,BMN
Taplejung,P,DLT
Chitwan,P,MDS
Kaski,P,BMN
Lalitpur,P,AVS
Kathmandu,P,BMN
Banke,P,AVS
Gorkha,P,BMN
Surkhet,P,AVS
Parsa,P,JNJT
Bhojpur,P,AVS
Rupandehi,P,DLT
Ramechhap,P,DLT
Kathmandu,P,TBT
Rautahat,P,MSLM
Dhanusha,P,MDS
Dhanusha,V,MDS
Dang,P,BMN
Baitadi,P,CHT
Siraha,P,AVS
Siraha,P,MDS
