,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
1793,opportunist,attempt,police,physical injury,23/09/2021,salyan,inseconline.org
1794,opportunist,assault,police,physical injury,24/09/2021,parsa,kathmandupress.com
1795,minor,abuse,police,physical injury,26/09/2021,dang,inseconline.org
1796,minor,assault,police,physical injury,27/09/2021,doti,ujyaaloonline.com
1797,gang,assault,police,physical injury,28/09/2021,rautahat,inseconline.org
1798,opportunist,abuse,police,physical injury,28/09/2021,lalitpur,inseconline.org
1799,minor,assault,police,physical injury,28/09/2021,nawalparasi,inseconline.org
1800,opportunist,attempt,police,physical injury,28/09/2021,rupandehi,inseconline.org
1801,opportunist,assault,police,physical injury,28/09/2021,kathmandu,nepallive.com
1802,opportunist,assault,victim,physical injury,29/09/2021,bajhang,inseconline.org
1803,opportunist,assault,police,physical injury,29/09/2021,lamjung,inseconline.org
1804,opportunist,assault,police,physical injury,29/09/2021,dang,inseconline.org
1805,opportunist,assault,police,physical injury,30/09/2021,udayapur,setopati.com
1806,opportunist,attempt,victim,physical injury,30/09/2021,sarlahi,inseconline.org
1807,opportunist,assault,police,physical injury,1/10/2021,sunsari,inseconline.org
1808,gang,assault,police,physical injury,1/10/2021,sunsari,khabarbreak.com
1809,opportunist,assault,police,physical injury,2/10/2021,kailali,kathmandupress.com
1810,opportunist,assault,police,physical injury,2/10/2021,salyan,inseconline.org
1811,opportunist,assault,police,physical injury,3/10/2021,rupandehi,kathmandupress.com
1812,opportunist,abuse,police,physical injury,4/10/2021,saptari,inseconline.org
1813,opportunist,assault,police,physical injury,5/10/2021,bhaktapur,kathmandupress.com
1814,minor,assault,police,physical injury,5/10/2021,lamjung,inseconline.org
1815,minor,assault,police,physical injury,6/10/2021,sindhupalchowk,inseconline.org
1816,minor,assault,police,physical injury,11/10/2021,palpa,ratopati.com
1817,opportunist,assault,police,physical injury,11/10/2021,lalitpur,nepalnews.com
1818,minor,assault,police,physical injury,16/10/2021,kaski,ratopati.com
1819,opportunist,assault,police,physical injury,16/10/2021,udayapur,ratopati.com
1820,gang,assault,police,physical injury,16/10/2021,sindhuli,inseconline.org
1821,opportunist,assault,police,physical injury,16/10/2021,tanahu,ratopati.com
1822,minor,assault,police,physical injury,17/10/2021,bhojpur,inseconline.org
1823,opportunist,attempt,victim,physical injury,18/10/2021,sarlahi,inseconline.org
1824,opportunist,assault,victim,physical injury,19/10/2021,nawalparasi,inseconline.org
1825,opportunist,assault,police,physical injury,19/10/2021,palpa,inseconline.org
1826,opportunist,assault,police,physical injury,21/10/2021,kathmandu,kathmandupress.com
1827,minor,abuse,police,physical injury,22/10/2021,dhanusa,inseconline.org
1828,opportunist,harassment,victim,physical injury,23/10/2021,tanahu,inseconline.org
1829,opportunist,attempt,victim,physical injury,24/10/2021,tanahu,nepalmonitor.org
1830,gang,assault,victim,physical injury,24/10/2021,dang,nepalmonitor.org
1831,opportunist,abuse,victim,physical injury,24/10/2021,sindhupalchowk,nepalmonitor.org
1832,minor,assault,police,physical injury,25/10/2021,solukhumbu,nepalmonitor.org
1833,minor,assault,victim,physical injury,25/10/2021,rupandehi,nepalmonitor.org
1834,opportunist,attempt,police,physical injury,26/10/2021,parsa,nepalmonitor.org
1835,opportunist,attempt,victim,physical injury,26/10/2021,saptari,nepalmonitor.org
1836,opportunist,assault,victim,physical injury,26/10/2021,sarlahi,nepalmonitor.org
1837,minor,abuse,police,physical injury,27/10/2021,morang,nepalmonitor.org
