,Type of Attack,Attempted or Raped,Reported To,Consequences of the attack,Date of Incident,Districts,Sources
563,opportunist,attempt,police,physical injury,1/3/2019,bhojpur,annapurnapost.com
564,minor,assault,police,physical injury,3/3/2019,bara,nepalpolice.gov.np
565,minor,assault,police,physical injury,4/3/2019,kailali,nepalpolice.gov.np
566,minor,assault,police,physical injury,4/3/2019,makwanpur,onlinekhabar.com
567,opportunist,assault,police,physical injury,6/3/2019,rautahat,nepalpolice.gov.np
568,minor,assault,police,physical injury,8/3/2019,siraha,nepalpolice.gov.np
569,minor,assault,police,physical injury,8/3/2019,dang,ratopati.com
570,opportunist,assault,police,physical injury,9/3/2019,kanchanpur,nepalpolice.gov.np
571,minor,assault,parents,physical injury,11/3/2019,morang,inseconline.org
572,minor,assault,parents,physical injury,12/3/2019,nuwakot,inseconline.org
573,minor,assault,parents,physical injury,14/03/2019,saptari,inseconline.org
574,minor,assault,police,physical injury,15/03/2019,rupandehi,onlinekhabar.com
575,minor,assault,police,physical injury,16/02/2019,jhapa,nepalpolice.gov.np
576,minor,assault,parents,physical injury,16/03/2019,rautahat,inseconline.org
577,gang,assault,police,physical injury,19/03/2019,kavre,nepalpolice.gov.np
578,minor,attempt,police,physical injury,19/03/2019,nawalparasi,onlinekhabar.com
579,opportunist,assault,police,physical injury,20/03/2019,lalitpur,nepalpolice.gov.np
580,opportunist,assault,parents,physical injury,20/03/2019,rukum,inseconline.org
581,gang,assault,police,physical injury,23/03/2019,kaski,nepalpolice.gov.np
582,minor,assault,police,physical injury,23/03/2019,sunsari,inseconline.org
583,minor,assault,police,physical injury,25/03/2019,okhaldhunga,thehimalayantimes.com
584,minor,assault,police,physical injury,25/03/2019,terhathum,inseconline.org
585,minor,assault,police,physical injury,25/03/2019,sunsari,nepalpolice.gov.np
586,minor,assault,police,physical injury,26/03/2019,siraha,nepalpolice.gov.np
587,minor,assault,police,physical injury,27/03/2019,kavre,nepalpolice.gov.np
588,opportunist,assault,police,physical injury,27/03/2019,jhapa,nepalpolice.gov.np
589,opportunist,assault,police,physical injury,28/03/2019,siraha,nepalpolice.gov.np
590,opportunist,attempt,neighbours,physical injury,29/03/2019,rupandehi,inseconline.org
591,minor,assault,parents,physical injury,2/30/2019,rupandehi,inseconline.org
592,minor,assault,police,physical injury,2/31/2019,siraha,inseconline.org
593,opportunist,assault,victim,physical injury,31/03/2019,makwanpur,inseconline.org
594,gang,assault,police,physical injury,1/4/2019,taplejung,inseconline.org
595,minor,assault,police,physical injury,1/4/2019,parsa,inseconline.org
596,minor,assault,police,physical injury,2/4/2019,siraha,nepalpolice.gov.np
597,opportunist,assault,police,physical injury,3/4/2019,palpa,nepalpolice.gov.np
598,opportunist,assault,police,physical injury,3/4/2019,arghakhanchi,nepalpolice.gov.np
599,minor,assault,police,physical injury,5/4/2019,bhaktapur,myrepublica.com
600,opportunist,assault,police,physical injury,6/4/2019,nawalparasi,nepalpolice.gov.np
601,minor,assault,police,physical injury,7/4/2019,palpa,nepalpolice.gov.np
602,minor,assault,police,physical injury,8/4/2019,bhaktapur,nepalpolice.gov.np
603,minor,assault,police,physical injury,12/4/2019,chitwan,thehimalayantimes.com
604,minor,assault,victim,physical injury,13/04/2019,chitwan,inseconline.org
605,minor,assault,police,physical injury,15/04/2019,rupandehi,nepalpolice.gov.np
606,gang,assault,police,physical injury,15/04/2019,kaski,nagariknetwork.com
607,opportunist,assault,police,physical injury,16/04/2019,bara,nepalpolice.gov.np
608,minor,assault,victim,physical injury,16/04/2019,syangja,inseconline.org
609,minor,assault,police,physical injury,17/04/2019,gulmi,ratopati.com
610,minor,assault,police,physical injury,17/04/2019,dolakha,inseconline.org
611,minor,assault,police,physical injury,19/04/2019,chitwan,inseconline.org
612,minor,assault,parents,physical injury,20/04/2019,rupandehi,inseconline.org
613,minor,assault,police,physical injury,23/04/2019,kathmandu,nepalpolice.gov.np
614,minor,assault,family,physical injury,23/04/2019,dang,inseconline.org
615,minor,assault,police,physical injury,24/04/2019,kavre,thehimalayantimes.com
616,opportunist,assault,police,physical injury,24/04/2019,saptari,nepalpolice.gov.np
617,opportunist,attempt,family,physical injury,28/04/2019,nawalparasi,nepalpolice.gov.np
618,opportunist,assault,police,physical injury,30/04/2019,dhanusa,nepalpolice.gov.np
619,gang,assault,police,physical injury,30/04/2019,bardiya,nepalpolice.gov.np
620,opportunist,assault,police,physical injury,30/04/2019,rupandehi,nepalpolice.gov.np
621,opportunist,assault,police,physical injury,30/04/2019,dhanusa,onlinekhabar.com
622,minor,assault,police,physical injury,1/5/2019,kailali,nepalpolice.gov.np
623,opportunist,assault,son,physical injury,2/5/2019,rupandehi,inseconline.org
624,opportunist,assault,police,physical injury,2/5/2019,khotang,nepalpolice.gov.np
625,opportunist,assault,police,physical injury,3/5/2019,dhading,thehimalayantimes.com
626,opportunist,attempt,victim,physical injury,3/5/2019,khotang,inseconline.org
627,opportunist,assault,police,physical injury,5/5/2019,sunsari,nagariknetwork.com
628,opportunist,assault,police,physical injury,5/5/2019,dhanusa,nepalpolice.gov.np
629,minor,assault,police,physical injury,5/5/2019,kaski,nepalpolice.gov.np
630,minor,attempt,parents,physical injury,6/5/2019,myagdi,ujyaaloonline.com
631,opportunist,assault,police,physical injury,8/5/2019,illam,nepalpolice.gov.np
632,minor,assault,police,physical injury,9/5/2019,doti,nepalpolice.gov.np
633,minor,assault,police,physical injury,10/5/2019,morang,nepalpolice.gov.np
634,opportunist,assault,police,physical injury,10/5/2019,arghakhanchi,inseconline.org
635,minor,assault,police,physical injury,11/5/2019,makwanpur,nagariknetwork.com
636,minor,assault,victim,physical injury,11/5/2019,khotang,nepalpolice.gov.np
637,minor,assault,police,physical injury,12/5/2019,tanahu,thehimalayantimes.com
638,minor,assault,police,physical injury,14/05/2019,okhaldhunga,nepalpolice.gov.np
639,minor,assault,police,physical injury,15/05/2019,makwanpur,nepalpolice.gov.np
640,opportunist,assault,police,physical injury,17/05/2019,rupandehi,inseconline.org
641,opportunist,attempt,police,physical injury,18/05/2019,doti,inseconline.org
642,gang,assault,police,physical injury,18/05/2019,saptari,inseconline.org
643,opportunist,assault,security home,physical injury,19/05/2019,jhapa,inseconline.org
644,minor,assault,family,physical injury,19/05/2019,tanahu,inseconline.org
645,minor,assault,police,physical injury,22/05/2019,kailali,nepalpolice.gov.np
646,minor,assault,police,physical injury,24/05/2019,rupandehi,inseconline.org
647,minor,assault,police,physical injury,25/05/2019,nawalparasi,inseconline.org
648,minor,assault,police,physical injury,26/05/2019,bardiya,inseconline.org
649,opportunist,assault,police,physical injury,26/05/2019,dadeldhura,inseconline.org
650,opportunist,assault,police,physical injury,26/05/2019,udayapur,inseconline.org
651,minor,assault,police,physical injury,28/05/2019,siraha,inseconline.org
652,opportunist,assault,police,physical injury,31/05/2019,jhapa,nepalmonitor.org
653,minor,assault,locals,physical injury,2/6/2019,nawalparasi,inseconline.org
654,minor,assault,police,physical injury,5/6/2019,surkhet,nepalpolice.gov.np
655,minor,assault,police,physical injury,7/6/2019,lalitpur,nepalpolice.gov.np
656,opportunist,assault,locals,physical injury,8/6/2019,tanahu,inseconline.org
657,minor,assault,police,physical injury,9/6/2019,rupandehi,nepalpolice.gov.np
658,minor,assault,family,physical injury,9/6/2019,nawalparasi,inseconline.org
659,gang,assault,police,physical injury,10/6/2019,saptari,nepalpolice.gov.np
660,opportunist,attempt,victim,physical injury,10/6/2019,lalitpur,inseconline.org
661,opportunist,assault,police,physical injury,12/6/2019,rupandehi,nepalpolice.gov.np
662,opportunist,assault,police,physical injury,13/06/2019,kapilvastu,nepalpolice.gov.np
663,minor,assault,police,physical injury,13/06/2019,rautahat,nepalmonitor.org
664,minor,assault,police,physical injury,15/06/2019,lalitpur,thehimalayantimes.com
665,opportunist,assault,police,physical injury,16/06/2019,dang,inseconline.org
666,minor,assault,police,physical injury,18/06/2019,terhathum,nepalpolice.gov.np
667,gang,assault,police,physical injury,18/06/2019,ramechhap,thehimalayantimes.com
668,minor,assault,police,physical injury,19/06/2019,bardiya,nepalpolice.gov.np
669,opportunist,assault,police,physical injury,20/06/2019,saptari,nepalpolice.gov.np
670,minor,assault,police,physical injury,23/06/2019,solukhumbu,inseconline.org
671,gang,assault,police,physical injury,23/06/2019,kailali,nepalpolice.gov.np
672,minor,assault,police,physical injury,23/06/2019,lalitpur,inseconline.org
673,minor,assault,police,physical injury,26/06/2019,bara,thehimalayantimes.com
674,minor,assault,police,physical injury,26/06/2019,bara,thehimalayantimes.com
675,opportunist,assault,police,physical injury,26/06/2019,doti,nepalpolice.gov.np
676,minor,assault,police,physical injury,27/06/2019,kathmandu,nepalpolice.gov.np
677,opportunist,assault,victim,physical injury,28/06/2019,chitwan,inseconline.org
678,opportunist,assault,victim,physical injury,28/06/2019,rupandehi,inseconline.org
679,opportunist,assault,police,physical injury,30/06/2019,terhathum,inseconline.org
680,minor,assault,police,physical injury,2/7/2019,siraha,inseconline.org
681,minor,assault,police,physical injury,4/7/2019,gulmi,thehimalayantimes.com
682,opportunist,assault,police,physical injury,4/7/2019,sunsari,nepalpolice.gov.np
683,opportunist,assault,police,physical injury,5/7/2019,dhanusa,nepalpolice.gov.np
684,opportunist,assault,police,physical injury,6/7/2019,lalitpur,thehimalayantimes.com
685,minor,assault,police,physical injury,6/7/2019,kapilvastu,nepalpolice.gov.np
686,minor,assault,police,physical injury,7/7/2019,bardiya,nepalpolice.gov.np
687,minor,assault,police,physical injury,10/7/2019,siraha,nepalpolice.gov.np
688,minor,assault,police,physical injury,11/7/2019,mahottari,nepalpolice.gov.np
689,minor,assault,police,physical injury,12/7/2019,dhading,inseconline.org
690,opportunist,assault,police,physical injury,16/07/2019,udayapur,nepalpolice.gov.np
691,minor,assault,police,physical injury,17/07/2019,arghakhanchi,nepalpolice.gov.np
692,minor,assault,police,physical injury,17/07/2019,dhading,nepalpolice.gov.np
693,minor,assault,police,physical injury,18/07/2019,tanahu,nepalpolice.gov.np
694,gang,assault,police,physical injury,18/07/2019,sunsari,inseconline.org
695,minor,assault,victim,physical injury,18/07/2019,kailali,inseconline.org
696,minor,assault,police,physical injury,18/07/2019,bardiya,nepalpolice.gov.np
697,minor,assault,police,physical injury,19/07/2019,arghakhanchi,nepalpolice.gov.np
698,minor,assault,police,physical injury,19/07/2019,mustang,nepalpolice.gov.np
699,opportunist,assault,police,physical injury,19/07/2019,makwanpur,nepalpolice.gov.np
700,gang,assault,police,physical injury,20/07/2019,lalitpur,nepalpolice.gov.np
701,opportunist,assault,police,physical injury,20/07/2019,bara,nepalpolice.gov.np
702,minor,assault,police,physical injury,21/07/2019,okhaldhunga,nagariknetwork.com
703,opportunist,assault,police,physical injury,23/07/2019,makwanpur,nepalpolice.gov.np
704,minor,assault,police,physical injury,23/07/2019,jhapa,nepalpolice.gov.np
705,opportunist,assault,police,physical injury,24/07/2019,kanchanpur,nepalpolice.gov.np
706,minor,assault,police,physical injury,25/07/2019,kaski,nepalpolice.gov.np
707,minor,assault,police,physical injury,27/07/2019,sunsari,ratopati.com
708,opportunist,assault,police,physical injury,29/07/2019,chitwan,drive.google.com
709,opportunist,assault,police,physical injury,30/07/2019,morang,nepalpolice.gov.np
710,opportunist,assault,police,physical injury,30/07/2019,salyan,annapurnapost.com
711,gang,assault,police,physical injury,31/07/2019,nawalparasi,nagariknetwork.com
712,opportunist,attempt,family,physical injury,8/2/2019,siraha,inseconline.org
713,minor,assault,police,physical injury,8/2/2019,nuwakot,inseconline.org
714,gang,assault,police,physical injury,8/2/2019,saptari,inseconline.org
715,minor,assault,police,physical injury,8/2/2019,dhading,nepalpolice.gov.np
716,minor,assault,police,physical injury,8/2/2019,sunsari,inseconline.org
717,minor,assault,police,physical injury,8/4/2019,bhojpur,ujyaaloonline.com
718,opportunist,assault,police,physical injury,8/6/2019,kathmandu,nepalpolice.gov.np
719,opportunist,assault,locals,physical injury,8/8/2019,palpa,inseconline.org
720,minor,assault,police,physical injury,8/8/2019,kapilvastu,nepalpolice.gov.np
721,opportunist,assault,police,physical injury,8/10/2019,rupandehi,nepalpolice.gov.np
722,minor,assault,siblings,physical injury,8/11/2019,kathmandu,onlinekhabar.com
723,minor,assault,police,physical injury,13/08/2019,jhapa,nepalpolice.gov.np
724,opportunist,assault,police,physical injury,17/08/2019,morang,nepalpolice.gov.np
725,minor,assault,police,physical injury,17/08/2019,rupandehi,nepalpolice.gov.np
726,opportunist,assault,police,physical injury,18/08/2019,darchula,inseconline.org
727,opportunist,assault,police,physical injury,19/08/2019,syangja,ujyaaloonline.com
728,minor,assault,police,physical injury,19/08/2019,nawalparasi,ratopati.com
729,minor,assault,police,physical injury,20/08/2019,okhaldhunga,nagariknetwork.com
730,minor,assault,police,physical injury,21/08/2019,kailali,nepalpolice.gov.np
731,opportunist,assault,police,physical injury,22/08/2019,rukum,inseconline.org
732,gang,assault,police,physical injury,22/08/2019,dhanusa,ujyaaloonline.com
733,minor,assault,parents,physical injury,23/08/2019,saptari,inseconline.org
734,marital,assault,victim,physical injury,23/08/2019,bhaktapur,ratopati.com
735,opportunist,assault,police,physical injury,24/08/2019,kapilvastu,nepalpolice.gov.np
736,gang,assault,police,physical injury,25/08/2019,bhojpur,thehimalayantimes.com
737,opportunist,assault,police,physical injury,27/08/2019,makwanpur,nepalpolice.gov.np
738,opportunist,assault,victim,physical injury,27/08/2019,chitwan,inseconline.org
739,minor,assault,family,physical injury,28/08/2019,siraha,inseconline.org
740,gang,assault,victim,physical injury,28/08/2019,kathmandu,onlinekhabar.com
741,gang,assault,parents,physical injury,29/08/2019,saptari,inseconline.org
742,opportunist,assault,police,physical injury,29/08/2019,bardiya,inseconline.org
743,opportunist,assault,police,physical injury,30/08/2019,kathmandu,nepalpolice.gov.np
744,opportunist,assault,victim,physical injury,9/2/2019,palpa,inseconline.org
745,opportunist,assault,victim,physical injury,9/2/2019,pyuthan,inseconline.org
746,minor,assault,police,physical injury,9/2/2019,achham,nepalmonitor.org
747,opportunist,assault,police,physical injury,9/4/2019,arghakhanchi,nepalpolice.gov.np
748,opportunist,assault,police,physical injury,9/5/2019,udayapur,nepalpolice.gov.np
749,opportunist,assault,police,physical injury,9/6/2019,saptari,nepalpolice.gov.np
750,minor,assault,victim,physical injury,9/8/2019,jajarkot,inseconline.org
751,minor,assault,police,physical injury,9/8/2019,rasuwa,nepalmonitor.org
752,opportunist,assault,relative,physical injury,9/10/2019,baitadi,ratopati.com
753,minor,assault,police,physical injury,9/10/2019,kanchanpur,nepalpolice.gov.np
754,opportunist,assault,parents,physical injury,9/11/2019,saptari,khabarhub.com
755,minor,assault,police,physical injury,14/09/2019,bardiya,nepalpolice.gov.np
756,opportunist,assault,police,physical injury,14/09/2019,mugu,nepalpolice.gov.np
757,minor,assault,police,physical injury,16/09/2019,bardiya,nepalpolice.gov.np
758,minor,assault,police,physical injury,17/09/2019,jhapa,nepalpolice.gov.np
759,minor,attempt,relative,physical injury,18/09/2019,dolpa,nagariknetwork.com
760,minor,assault,police,physical injury,19/09/2019,banke,nepalpolice.gov.np
761,opportunist,assault,parents,physical injury,19/09/2019,gorkha,onlinekhabar.com
762,minor,assault,party,physical injury,19/09/2019,rasuwa,inseconline.org
763,gang,assault,police,physical injury,22/09/2019,morang,nepalpolice.gov.np
764,marital,assault,police,physical injury,24/09/2019,rupandehi,nepalmonitor.org
765,opportunist,assault,police,physical injury,26/09/2019,nawalparasi,thehimalayantimes.com
766,opportunist,assault,police,physical injury,26/09/2019,morang,nepalpolice.gov.np
767,opportunist,assault,relative,physical injury,26/09/2019,dailekh,inseconline.org
768,minor,assault,victim,physical injury,27/09/2019,dang,inseconline.org
769,opportunist,assault,police,physical injury,30/09/2019,kathmandu,thehimalayantimes.com
770,gang,assault,police,physical injury,10/1/2019,sunsari,nepalpolice.gov.np
771,minor,assault,police,physical injury,10/2/2019,bardiya,nepalpolice.gov.np
772,minor,assault,police,physical injury,10/2/2019,ramechhap,inseconline.org
773,minor,assault,family,physical injury,10/3/2019,siraha,inseconline.org
774,minor,assault,police,physical injury,10/6/2019,lalitpur,nepalpolice.gov.np
775,minor,assault,family,physical injury,10/7/2019,nawalparasi,inseconline.org
776,opportunist,assault,police,physical injury,10/10/2019,kanchanpur,nagariknetwork.com
777,opportunist,assault,victim,physical injury,10/10/2019,nawalparasi,inseconline.org
778,minor,assault,parents,physical injury,10/10/2019,bajhang,ratopati.com
779,opportunist,attempt,neighbours,physical injury,10/11/2019,kailali,ekantipur.com
780,minor,assault,police,physical injury,10/12/2019,jhapa,nepalpolice.gov.np
781,minor,assault,family,physical injury,10/12/2019,siraha,inseconline.org
782,minor,assault,police,physical injury,10/12/2019,udayapur,nepalpolice.gov.np
783,gang,assault,party,physical injury,13/10/2019,jajarkot,inseconline.org
784,opportunist,assault,victim,physical injury,13/10/2019,kanchanpur,inseconline.org
785,opportunist,assault,police,physical injury,13/10/2019,sankhuwasabha,onlinekhabar.com
786,gang,assault,police,physical injury,13/10/2019,nawalparasi,rajdhanidaily.com
787,minor,assault,police,physical injury,16/10/2019,lalitpur,thehimalayantimes.com
788,minor,assault,police,physical injury,16/10/2019,parbat,nepalpolice.gov.np
789,opportunist,assault,neighbours,physical injury,17/10/2019,dolakha,thehimalayantimes.com
790,opportunist,assault,victim,physical injury,19/10/2019,sunsari,thehimalayantimes.com
791,opportunist,assault,police,physical injury,19/10/2019,kailali,inseconline.org
792,minor,assault,police,physical injury,20/10/2019,bara,nepalpolice.gov.np
793,gang,assault,police,physical injury,22/10/2019,lalitpur,nepalpolice.gov.np
794,minor,assault,police,physical injury,23/10/2019,udayapur,nepalpolice.gov.np
795,minor,assault,victim,physical injury,23/10/2019,parsa,onlinekhabar.com
796,minor,assault,police,physical injury,24/10/2019,bardiya,nepalpolice.gov.np
797,opportunist,assault,police,physical injury,28/10/2019,tanahu,khabarhub.com
798,opportunist,assault,police,physical injury,30/10/2019,sunsari,nepalpolice.gov.np
799,opportunist,assault,police,physical injury,30/10/2019,kavre,nepalpolice.gov.np
800,minor,assault,police,physical injury,30/10/2019,sankhuwasabha,nepalpolice.gov.np
801,minor,assault,victim,physical injury,31/10/2019,kathmandu,thehimalayantimes.com
802,gang,assault,police,physical injury,31/10/2019,kathmandu,thehimalayantimes.com
803,opportunist,assault,victim,physical injury,31/10/2019,dailekh,inseconline.org
804,opportunist,assault,victim,physical injury,31/10/2019,taplejung,inseconline.org
805,opportunist,assault,police,physical injury,11/3/2019,kathmandu,nepalpolice.gov.np
806,opportunist,assault,parents,physical injury,11/1/2019,sunsari,ratopati.com
807,minor,assault,police,physical injury,11/2/2019,bhaktapur,inseconline.org
808,opportunist,assault,victim,physical injury,11/3/2019,surkhet,inseconline.org
809,opportunist,assault,victim,physical injury,11/3/2019,banke,inseconline.org
810,opportunist,assault,victim,physical injury,11/4/2019,nawalparasi,inseconline.org
811,minor,assault,family,physical injury,11/6/2019,rupandehi,inseconline.org
812,minor,assault,victim,physical injury,11/8/2019,kanchanpur,inseconline.org
813,minor,assault,victim,physical injury,11/9/2019,makwanpur,inseconline.org
814,minor,assault,parents,physical injury,11/10/2019,chitwan,inseconline.org
815,minor,assault,family,physical injury,11/11/2019,kailali,inseconline.org
816,gang,assault,police,physical injury,11/12/2019,baitadi,inseconline.org
817,opportunist,assault,police,physical injury,13/11/2019,udayapur,nepalpolice.gov.np
818,opportunist,assault,victim,physical injury,15/11/2019,surkhet,inseconline.org
819,opportunist,assault,victim,physical injury,15/11/2019,baglung,inseconline.org
820,minor,assault,police,physical injury,17/11/2019,kathmandu,nepalpolice.gov.np
821,minor,assault,police,physical injury,17/11/2019,jhapa,nepalpolice.gov.np
822,minor,assault,police,physical injury,17/11/2019,nawalparasi,khabarhub.com
823,opportunist,assault,victim,physical injury,18/11/2019,dadeldhura,inseconline.org
824,minor,assault,police,physical injury,26/11/2019,lalitpur,nepalpolice.gov.np
825,minor,assault,police,physical injury,28/11/2019,kanchanpur,nepalpolice.gov.np
826,opportunist,assault,police,physical injury,29/11/2019,kathmandu,nepalpolice.gov.np
827,minor,assault,police,physical injury,30/11/2019,sindhupalchowk,nepalpolice.gov.np
828,minor,assault,relative,physical injury,30/11/2019,bardiya,inseconline.org
829,minor,assault,family,physical injury,30/11/2019,rupandehi,inseconline.org
830,minor,assault,party,physical injury,12/2/2019,nawalparasi,inseconline.org
831,minor,assault,police,physical injury,12/5/2019,gulmi,ratopati.com
832,opportunist,assault,police,physical injury,12/6/2019,makwanpur,nepalpolice.gov.np
833,opportunist,assault,police,physical injury,12/9/2019,kailali,nepalpolice.gov.np
834,gang,assault,victim,physical injury,12/9/2019,nawalparasi,inseconline.org
835,minor,assault,police,physical injury,12/12/2019,dolpa,nepalpolice.gov.np
836,opportunist,assault,police,physical injury,13/12/2019,makwanpur,nepalpolice.gov.np
837,opportunist,assault,police,physical injury,14/12/2019,makwanpur,nepalpolice.gov.np
838,gang,assault,police,physical injury,16/12/2019,kathmandu,nepalpolice.gov.np
839,opportunist,assault,victim,physical injury,16/12/2019,dang,inseconline.org
840,opportunist,assault,police,physical injury,17/12/2019,saptari,nepalpolice.gov.np
841,minor,assault,relative,physical injury,18/12/2019,illam,inseconline.org
842,opportunist,assault,victim,physical injury,18/12/2019,saptari,inseconline.org
843,minor,assault,victim,physical injury,18/12/2019,siraha,inseconline.org
844,minor,assault,police,physical injury,22/12/2019,kanchanpur,nepalpolice.gov.np
845,minor,assault,police,physical injury,21/12/2019,bardiya,ratopati.com
846,minor,assault,parents,physical injury,22/12/2019,rupandehi,inseconline.org
847,minor,assault,police,physical injury,25/12/2019,bara,thehimalayantimes.com
848,minor,assault,police,murder,30/12/2019,kanchanpur,rajdhanidaily.com
849,gang,assault,police,physical injury,6/1/2020,siraha,spotlightnepal.com
850,minor,assault,police,physical injury,7/1/2020,siraha,nepalipolice.gov.np
851,minor,assault,police,physical injury,9/1/2020,bhaktapur,nepalipolice.gov.np
852,opportunist,assault,police,physical injury,10/1/2020,sunsari,inseconline.org
853,opportunist,assault,family,physical injury,13/01/2020,solukhumbu,nepalmonitor.org
854,opportunist,attempt,victim,physical injury,15/01/2020,salyan,inseconline.org
855,opportunist,assault,police,physical injury,15/01/2020,dang,inseconline.org
856,opportunist,assault,victim,physical injury,15/01/2020,dang,nepalmonitor.org
857,opportunist,assault,victim,physical injury,16/01/2020,myagdi,inseconline.org
858,opportunist,assault,victim,physical injury,16/01/2020,nawalparasi,inseconline.org
859,opportunist,assault,police,physical injury,16/01/2020,kailali,dineshkhabar.com
860,minor,assault,police,physical injury,17/01/2020,saptari,koshionline.com
861,opportunist,assault,victim,physical injury,17/01/2020,panchthar,thehimalayantimes.com
862,opportunist,assault,police,physical injury,18/01/2020,kanchanpur,inseconline.org
863,opportunist,assault,police,physical injury,18/01/2020,darchula,inseconline.org
864,opportunist,assault,police,physical injury,18/01/2020,nawalparasi,ratopati.com
865,opportunist,assault,victim,physical injury,19/01/2020,bara,thehimalayantimes.com
866,opportunist,assault,police,physical injury,19/01/2020,morang,onlinekhabar.com
867,minor,assault,family,physical injury,19/01/2020,dolakha,inseconline.org
868,minor,assault,family,physical injury,20/01/2020,nawalparasi,inseconline.org
869,opportunist,assault,police,physical injury,21/01/2020,myagdi,inseconline.org
870,opportunist,assault,family,physical injury,21/01/2020,dailekh,inseconline.org
871,opportunist,assault,police,physical injury,24/01/2020,dhankuta,inseconline.org
872,minor,assault,family,physical injury,27/01/2020,dailekh,inseconline.org
873,minor,assault,police,physical injury,28/01/2020,jhapa,khabarhub.com
874,minor,assault,police,physical injury,30/01/2020,rautahat,nagariknetwork.com
875,opportunist,assault,police,physical injury,31/01/2020,ramechhap,inseconline.org
876,minor,assault,police,physical injury,1/2/2020,saptari,inseconline.org
877,minor,assault,police,physical injury,2/2/2020,bara,nepalpolice.gov.np
878,opportunist,assault,police,physical injury,2/2/2020,makwanpur,nepalpolice.gov.np
879,opportunist,assault,police,physical injury,2/2/2020,mugu,nepalpolice.gov.np
880,opportunist,assault,police,physical injury,3/2/2020,kathmandu,nepalpolice.gov.np
881,gang,assault,police,physical injury,4/2/2020,gulmi,nepalpolice.gov.np
882,opportunist,assault,police,physical injury,4/2/2020,parsa,nepalpolice.gov.np
883,minor,assault,police,physical injury,4/2/2020,kailali,onlinekhabar.com
884,minor,assault,police,physical injury,5/2/2020,jhapa,nepalpolice.gov.np
885,opportunist,assault,police,physical injury,5/2/2020,rukum,nepalpolice.gov.np
886,opportunist,assault,police,physical injury,7/2/2020,lalitpur,thehimalayantimes.com
887,opportunist,assault,police,physical injury,7/2/2020,kanchanpur,nepalpolice.gov.np
888,minor,assault,police,physical injury,8/2/2020,kailali,onlinekhabar.com
889,gang,assault,police,physical injury,8/2/2020,kathmandu,nepalpolice.gov.np
890,opportunist,assault,police,physical injury,12/2/2020,lalitpur,nepalpolice.gov.np
891,minor,assault,police,physical injury,12/2/2020,dang,inseconline.org
892,minor,assault,police,physical injury,13/02/2020,sindhupalchowk,inseconline.org
893,gang,assault,police,physical injury,16/02/2020,dhanusa,nepalpolice.gov.np
894,minor,assault,police,physical injury,17/02/2020,jhapa,nepalpolice.gov.np
895,gang,assault,police,physical injury,18/02/2020,rupandehi,nepalpolice.gov.np
896,opportunist,assault,police,physical injury,18/02/2020,rupandehi,nepalpolice.gov.np
897,minor,assault,police,physical injury,18/02/2020,gorkha,inseconline.org
898,opportunist,assault,police,physical injury,19/02/2020,kathmandu,ratopati.com
899,minor,assault,police,physical injury,20/02/2020,saptari,nepalpolice
900,minor,assault,police,physical injury,24/02/2020,rautahat,nepalpolice
901,minor,assault,police,physical injury,26/02/2020,gulmi,nepalpolice.gov.np
902,gang,assault,police,physical injury,27/02/2020,dhanusa,rajdhanidaily.com
903,gang,assault,police,pregnant,27/02/2020,bajura,nepalmonitor.org
904,opportunist,assault,family,physical injury,28/02/2020,rupandehi,inseconline.org
905,minor,assault,police,physical injury,1/3/2020,rautahat,inseconline.org
906,opportunist,assault,police,physical injury,2/3/2020,lalitpur,ratopati.com
907,opportunist,assault,police,physical injury,4/3/2020,kathmandu,ratopati.com
908,opportunist,assault,police,physical injury,5/3/2020,kailali,nepalpolice.gov.np
909,opportunist,assault,police,physical injury,5/3/2020,bhaktapur,nepalpolice.gov.np
910,opportunist,assault,police,physical injury,6/3/2020,lalitpur,ratopati.com
911,opportunist,assault,police,physical injury,10/3/2020,bara,thehimalayantimes.com
912,gang,assault,police,physical injury,11/3/2020,mahottari,rajdhanidaily.com
913,minor,assault,police,physical injury,12/3/2020,bara,nepalpolice.gov.np
914,opportunist,assault,police,physical injury,14/03/2020,kathmandu,nepalpolice.gov.np
915,gang,assault,police,physical injury,14/03/2020,siraha,nepalmonitor.org
916,opportunist,assault,police,physical injury,15/03/2020,banke,nepalmonitor.org
917,opportunist,assault,police,physical injury,17/03/2020,dang,nepalmonitor.org
918,gang,assault,police,physical injury,17/03/2020,kathmandu,nepalmonitor.org
919,opportunist,assault,police,physical injury,18/03/2020,chitwan,nepalmonitor.org
920,minor,assault,police,physical injury,19/03/2020,udayapur,nepalmonitor.org
921,minor,assault,police,physical injury,19/03/2020,lalitpur,nepalmonitor.org
922,minor,assault,police,physical injury,20/03/2020,dolakha,inseconline.org
923,gang,assault,police,physical injury,21/03/2020,lalitpur,ratopati.com
924,opportunist,assault,family,physical injury,24/03/2020,dolakha,inseconline.org
925,opportunist,assault,police,physical injury,24/03/2020,kathmandu,khabarhub.com
926,opportunist,assault,victim,physical injury,25/03/2020,kapilvastu,inseconline.org
927,opportunist,assault,police,physical injury,26/03/2020,kapilvastu,onlinekhabar.com
928,opportunist,assault,parents,physical injury,26/03/2020,rautahat,thehimalayantimes.com
929,minor,assault,police,physical injury,28/03/2020,rautahat,ratopati.com
