District,Age
Udayapur,24
Bardiya,70
Dang,21
Achham,22
Achham,NA
Achham,NA
Dhanusha,30
Palpa,75
Dhading,25
Lalitpur,27
Rautahat,22
Jhapa,23
Baitadi,32
Baitadi,45
Kaski,24
Kaski,22
Kaski,19
Kaski,18
Jhapa,35
Siraha,NA
Parsa,NA
Siraha,26
Okhaldhunga,23
Gulmi,35
Jhapa,NA
Panchthar,24
Siraha,18
Dang,44
Bardiya,20
Parbat,12
Parbat,14
Lalitpur,26
Siraha,26
Jhapa,74
Kailali,NA
Bhaktapur,NA
Okhaldhunga,13
Okhaldhunga,NA
Rupandehi,50
Morang,63
Bhojpur,20
Salyan,36
Taplejung,20
Jumla,19
Dadeldhura,NA
Rukum East,24
Kailali,23
Rolpa,36
Dhanusha,30
Kanchanpur,20
Rukum East,38
Bardiya,23
Banke,35
Gorkha,NA
Kaski,41
Kailali,22
Parasi,30
Parasi,34
Parasi,16
Udayapur,25
Taplejung,65
Okhaldhunga,19
Kailali,28
Dolpa,31
Dolpa,31
Okhaldhunga,26
Rupandehi,25
Udayapur,25
Jhapa,33
Saptari,28
Dhanusha,NA
Dhanusha,NA
Dhanusha,NA
Dhanusha,NA
Dhanusha,NA
Kathmandu,40
Kailali,21
Salyan,45
Rautahat,45
Chitwan,28
Nuwakot,NA
Salyan,27
Dhading,30
Kirtipur,19
Lalitpur,26
Tanahu,NA
Sunsari,33
Udayapur,19
Dang,38
Rautahat,20
Saptari,45
Udayapur,22
Makwanpur,16
Nuwakot,22
Arghakhanchi,26
Chitwan,32
Morang,19
Bardiya,21
Morang,24
Saptari,45
Dang,23
Rupandehi,20
Sindhuli,16
Sindhuli,14
Panchthar,50
Kanchanpur,19
Dhanusha,19
Dhanusha,NA
Dhanusha,NA
Dhanusha,NA
Sunsari,46
Saptari,19
Ramechhap,45
Rukum West,18
Dang,18
Kanchanpur,24
Kalikot,58
Dhading,16
Jhapa,22
Jhapa,24
Kanchanpur,25
Bhaktapur,43
Mustang,27
Udayapur,54
Kailali,18
Kailali,NA
Kailali,NA
Kailali,20
Morang,21
Myagdi,34
Makwanpur,24
Syangja,55
Kailali,28
Kapilvastu,22
Dhanusha,NA
Sunsari,36
Kathmandu,40
Jhapa,58
Kaski,55
Mugu,28
Mugu,23
Kanchanpur,30
Kailali,40
Sindhupalchok,41
Siraha,21
Lamjung,43
Kaski,38
Kaski,78
Saptari,18
Baitadi,NA
Baitadi,NA
Baitadi,NA
Kailali,20
Kailali,20
Kailali,24
Kailali,21
Surkhet,17
Surkhet,15
Kaski,37
Saptari,14
Morang,45
Panchthar,NA
Siraha,45
Dhanusha,56
Doti,31
Dolakha,46
Saptari,21
Saptari,20
Kavrepalanchok,21
Ramechhap,70
Saptari,15
Lalitpur,40
Rautahat,20
Sunsari,21
Dang,62
Okhaldhunga,28
Kanchanpur,30
Jhapa,26
Udayapur,43
Kailali,35
Dang,28
Saptari,18
Saptari,20
Taplejung,20
Kavrepalanchok,22
Kavrepalanchok,28
Kavrepalanchok,23
Kailali,NA
Sunsari,38
Bhojpur,45
Salyan,21
Kapilvastu,28
Okhaldhunga,16
Okhaldhunga,52
Bhojpur,45
Udayapur,59
Udayapur,35
Sunsari,NA
Saptari,22
Baitadi,28
Chitwan,41
Udayapur,19
Parbat,13
Rautahat,35
Tanahu,32
Makwanpur,41
Saptari,22
Dhading,35
Bardiya,NA
Sunsari,52
Doti,36
Bhaktapur,24
Siraha,46
Sindhupalchok,NA
Rautahat,NA
Siraha,23
Siraha,NA
Kanchanpur,55
Saptari,35
Kathmandu,22
Kathmandu,21
Siraha,NA
Siraha,21
Morang,21
Sunsari,30
Jhapa,40
Kapilvastu,17
Bardiya,27
Taplejung,31
Siraha,26
Dhanusha,20
Lalitpur,30
Dhanusha,24
Kanchanpur,20
Sunsari,42
Kailali,NA
Kathmandu,43
Parasi,26
Bardiya,39
Sunsari,31
Parsa,23
Palpa,19
Dhanusha,21
Dhanusha,20
Nawalpur,40
Kathmandu,21
Kapilvastu,19
Siraha,20
Kathmandu,21
Bhojpur,53
Kapilvastu,18
Udayapur,32
Okhaldhunga,51
Dang,18
Dang,18
Sunsari,25
Siraha,20
Kathmandu,40
Dang,21
Rautahat,45
Salyan,70
Parasi,17
Dhanusha,38
Tanahu,72
Tanahu,16
Salyan,25
Arghakhanchi,55
Parasi,30
Kathmandu,19
Sindhupalchok,20
Sunsari,24
Siraha,50
Dhanusha,32
Terhathum,21
Kailali,NA
Kailali,32
Udayapur,39
Bardiya,21
Dhading,24
Sunsari,31
Bara,45
Saptari,NA
Udayapur,32
Udayapur,25
Sunsari,32
Dhading,18
Ilam,20
Dhanusha,51
Sunsari,22
Sunsari,22
Sunsari,23
Makwanpur,60
Udayapur,21
Taplejung,18
Taplejung,25
Saptari,22
Saptari,27
Saptari,24
Doti,24
India,45
Morang,21
Morang,50
Morang,40
Dang,19
Sindhupalchok,26
Okhaldhunga,22
Sunsari,22
Sunsari,NA
Saptari,45
Lalitpur,16
Makwanpur,40
Jhapa,40
Rautahat,NA
Kathmandu,21
Gorkha,19
Makwanpur,25
Kathmandu,52
Udayapur,46
Syangja,27
Dang,21
Saptari,NA
Syangja,21
Saptari,22
Kailali,28
Sarlahi,NA
Kathmandu,23
Morang,24
Makwanpur,20
Makwanpur,16
Dhanusha,21
Dhanusha,NA
Dhanusha,NA
Dolakha,38
Sunsari,19
Parsa,26
Banke,15
Kailali,22
Rautahat,32
Dhanusha,20
Dhanusha,NA
Siraha,35
Dolakha,24
Bardiya,44
Kaski,39
Bhaktapur,20
Morang,25
Parasi,16
Parasi,17
Ramechhap,21
Terhathum,25
Okhaldhunga,34
Kathmandu,50
Nuwakot,36
Udayapur,63
Gulmi,45
Gulmi,26
Gulmi,18
Sindhuli,NA
Jhapa,NA
Tanahu,50
Palpa,45
Lalitpur,21
Jhapa,35
Kanchanpur,55
Nuwakot,70
Siraha,28
Myagdi,17
Banke,31
Banke,26
Lalitpur,33
Udayapur,32
Ilam,40
Kathmandu,46
Bardiya,20
Bardiya,18
Lalitpur,65
Makwanpur,62
Bhojpur,28
Syangja,19
Bardiya,25
Sunsari,40
Kaski,57
Sunsari,55
Rupandehi,37
Baitadi,23
Lalitpur,32
Rupandehi,28
Kailali,30
Kathmandu,50
Kanchanpur,21
Rupandehi,33
Bardiya,31
Ilam,25
Saptari,25
Parsa,34
Dang,19
Jhapa,29
Siraha,22
Saptari,26
Bhaktapur,31
Kailali,21
Kailali,20
Kailali,NA
Kailali,NA
Kailali,NA
Saptari,38
Dolpa,53
Saptari,22
Baitadi,NA
Salyan,43
Sunsari,33
Makwanpur,45
Banke,21
Morang,29
Gorkha,25
India,55
Tanahu,38
Siraha,37
Udayapur,22
Gulmi,29
Parasi,19
Dailekh,19
Kapilvastu,32
Kathmandu,21
Bara,39
Syangja,52
Baitadi,16
Khotang,19
Darchula,23
Rupandehi,35
Parsa,23
Kailali,40
Rupandehi,38
