District,Ethnicity code
Kapilvastu,DLT
Jhapa,AVS
Banke,JNJT
India,MDS
Morang,BMN
Kathmandu,BMN
Taplejung,DLT
Chitwan,MDS
Kaski,BMN
Lalitpur,AVS
Kathmandu,BMN
Banke,AVS
Gorkha,BMN
Surkhet,AVS
Parsa,JNJT
Bhojpur,AVS
Rupandehi,DLT
Ramechhap,DLT
Kathmandu,TBT
Rautahat,MSLM
Dhanusha,MDS
Dang,BMN
Baitadi,CHT
Siraha,AVS
Siraha,MDS
Siraha,MDS
Khotang,DLT
Surkhet,DLT
Makwanpur,BMN
Mugu,REG
Makwanpur,AVS
Parsa,MSLM
Siraha,MDS
Ilam,CHT
Kathmandu,DLT
Kathmandu,DLT
Makwanpur,AVS
Dhading,CHT
Australia,OTR
Tanahu,CHT
Kathmandu,DLT
Kavrepalanchok,DLT
Parasi,BMN
Kapilvastu,DLT
Udayapur,DLT
Siraha,AVS
Jhapa,DLT
Terhathum,AVS
Siraha,MDS
Siraha,MDS
Gulmi,DLT
Gulmi,CHT
Gulmi,CHT
Baitadi,BMN
"India, Gorakhpur",MSLM
Siraha,MDS
Saptari,MDS
Gorkha,MSLM
Ilam,CHT
Bhaktapur,AVS
Ramechhap,AVS
Myagdi,MDS
Myagdi,CHT
Udayapur,JNJT
Khotang,AVS
Udayapur,MDS
Kathmandu,BMN
Bhojpur,AVS
Saptari,MDS
Saptari,MSLM
Udayapur,AVS
Siraha,OTR
Chitwan,BMN
Chitwan,AVS
Tanahu,AVS
Siraha,AVS
Siraha,BMN
Terhathum,DLT
Bhojpur,AVS
Lalitpur,MDS
Kavrepalanchok,CHT
Banke,AVS
Kathmandu,JNJT
Okhaldhunga,AVS
India,MDS
Darchula,AVS
Banke,AVS
Bardiya,BMN
Bardiya,OTR
Parbat,CHT
Bhaktapur,CHT
Jhapa,AVS
Rukum West,CHT
Rupandehi,CHT
Bhaktapur,CHT
Dang,DLT
Udayapur,DLT
Rukum East,BMN
Ramechhap,CHT
Bara,AVS
Bara,CHT
Saptari,MDS
Nawalpur,AVS
Chitwan,DLT
Kavrepalanchok,DLT
Kavrepalanchok,AVS
Mugu,REG
Siraha,MDS
Siraha,AVS
Chitwan,DLT
Dang,CHT
Rupandehi,BMN
Siraha,MDS
Bhojpur,AVS
Bara,DLT
Bara,MDS
Rautahat,OTR
Parasi,MDS
Sunsari,AVS
Terhathum,BMN
Rupandehi,JNJT
Rupandehi,MDS
Siraha,DLT
Makwanpur,CHT
Parsa,MDS
Palpa,KAVS
Arghakhanchi,JNJT
Chitwan,OTR
Tanahu,OTR
Tanahu,AVS
Tanahu,BMN
Tanahu,DLT
Gulmi,MSLM
Chitwan,DLT
Rupandehi,JNJT
Dang,BMN
Nawalpur,AVS
Rupandehi,DLT
Khotang,DLT
Myagdi,JNJT
Arghakhanchi,CHT
Makwanpur,BMN
Rupandehi,CHT
Doti,AVS
Saptari,MDS
Jhapa,AVS
Rupandehi,CHT
Parasi,MDS
Dadeldhura,CHT
Dadeldhura,CHT
Udayapur,DLT
Siraha,MDS
Jhapa,DLT
Tanahu,BMN
Parasi,REG
Rautahat,BMN
Dang,BMN
Solukhumbu,AVS
Chitwan,BMN
Rupandehi,BMN
Terhathum,CHT
Arghakhanchi,JNJT
Dhading,BMN
Tanahu,JNJT
Sunsari,MSLM
Sunsari,MSLM
Kailali,JNJT
Bardiya,JNJT
Mustang,JNJT
Makwanpur,AVS
Lalitpur,BMN
Lalitpur,CHT
Lalitpur,AVS
Bara,AVS
Okhaldhunga,OTR
Makwanpur,BMN
Jhapa,BMN
Kanchanpur,AVS
Kaski,OTR
Sunsari,AVS
Chitwan,AVS
Morang,AVS
Parasi,AVS
Parasi,CHT
Siraha,BMN
Saptari,MDS
Saptari,MDS
Dhading,DLT
Sunsari,OTR
Rupandehi,JNJT
Palpa,OTR
Rupandehi,JNJT
Kathmandu,AVS
Jhapa,AVS
Morang,AVS
Rupandehi,BMN
Darchula,OTR
Okhaldhunga,AVS
Kailali,DLT
Rukum West,OTR
Dhanusa,MDS
Dhanusa,MDS
Kapilvastu,CHT
Bhojpur,DLT
Bhojpur,DLT
Makwanpur,AVS
Chitwan,AVS
Siraha,AVS
Kathmandu,AVS
Dhading,JNJT
Bardiya,AVS
Kathmandu,AVS
Palpa,OTR
Pyuthan,DLT
Achham,DLT
Arghakhanchi,DLT
Udayapur,CHT
Saptari,DLT
Rasuwa,DLT
Baitadi,CHT
Kanchanpur,AVS
Saptari,DLT
Bardiya,DLT
Mugu,DLT
Bardiya,DLT
Jhapa,AVS
Banke,DLT
Gorkha,JNJT
Rasuwa,AVS
Morang,OTR
Morang,BMN
Morang,AVS
Morang,JNJT
Nawalpur,AVS
Morang,DLT
Dailekh,DLT
Kathmandu,MDS
Sunsari,AVS
Bardiya,JNJT
Ramechhap,AVS
Siraha,MDS
Lalitpur,OTR
Nawalpur,OTR
Kanchanpur,AVS
Parasi,DLT
Bajhang,DLT
Jhapa,CHT
Siraha,MSLM
Udayapur,DLT
Jajarkot,REG
Jajarkot,DLT
Kanchanpur,DLT
Sankhuwasabha,MSLM
Nawalpur,MDS
Nawalpur,AVS
Lalitpur,CHT
Parbat,DLT
Dolakha,AVS
Kailali,MDS
India,MSLM
Lalitpur,DLT
Lalitpur,BMN
Udayapur,AVS
Bardiya,JNJT
Tanahu,DLT
Sunsari,AVS
Kavrepalanchok,AVS
Sankhuwasabha,TBT
Kathmandu,AVS
Dang,BMN
Nuwakot,BMN
Dailekh,REG
Taplejung,AVS
Khotang,AVS
Bhojpur,BMN
Kavrepalanchok,AVS
Surkhet,BMN
Surkhet,DLT
Parasi,CHT
Pyuthan,MDS
Kanchanpur,CHT
Makwanpur,AVS
Chitwan,DLT
Kailali,MDS
